,APP,API invoked,Value 1,Value 2,Data type,Org text,Key words,Decision(Xueling),Xiaoyin,Rocky,Final Decision
32,com.enflick.android.TextNow,com.leanplum.Leanplum.setUserAttributes,utsaresearch2018,,User name,"What Information do We Collect? 
name
Cookies and Analytical Tracking: Sometimes we use cookie technology, web beacons and other similar
devices on our Websites and our software to enhance functionality and navigation, and portions of our
Websites and our software may use statistical tools that may be operated by third party providers (collectively,
the “Analytical Tools”).

3. We provide the information we collect to third parties, such as advertisers, in","Analytical Tools, name",adstract,adstract,adstract,no violation
32,com.enflick.android.TextNow,com.leanplum.Leanplum.setUserId,utsaresearch2018,,User name,,,,,,
33,com.pacificinteractive.HouseOfFun,com.appsflyer.AppsFlyerLib.setAndroidIdData,757601f43fe6cab0,,Android ID,"We may also employ third
party ad-serving and/or analytics technologies that use various methods to collect information through the
Software and the Service. These technologies may be embedded within the Software and the Service and may
collect demographic and location information as well as information from your device including but not limited
to IP address, device UDID,","analytics technologie, Device UDID",abstract,abstract,abstract,no violation
34,com.texty.sms,com.crashlytics.android.Crashlytics.setUserIdentifier,757601f43fe6cab0,,android_id,"1. Information We Collect:
verified email address, unique device
identifiers

We use analytics services like Google Analytics, KissMetrics, and Intercom

We use and process the information we collect through your use of the Services to:

Analyze trends and traffic, track premium upgrades, and track usage data;","track usage data,  email address, unique device
identifiers,",abstract,abstract,abstract,no violation
34,com.texty.sms,com.crashlytics.android.Crashlytics.setUserEmail,utsaresearch2018@gmail.com,,user email,,,,,,
34,com.texty.sms,com.crashlytics.android.Crashlytics.setUserIdentifier,757601f43fe6cab0,,Android ID,,,,,,
35,com.buzzpia.aqua.launcher,com.crashlytics.android.Crashlytics.setUserIdentifier,757601f43fe6cab0,,android_id,,app no longer exists in google Play,not available,,,not available
35,com.buzzpia.aqua.launcher,com.crashlytics.android.Crashlytics.setUserIdentifier,757601f43fe6cab0,,Android ID,,,,,,
36,com.camshare.camfrog.android,com.crashlytics.android.Crashlytics.setUserName,utsarsearch,,user name,"We may share anonymized usage data which does not identify you specifically with third parties.

We may use Tracking Technologies to deliver content, including ads, relevant to your interests on the
Services and third party sites based on how you interact with our advertisements or content, and to
track the content you access.","Tracking Technologies, anonymized usage data",violation,violation,violation,violation
37,com.datpiff.mobile,com.google.firebase.analytics.FirebaseAnalytics.setUserProperty,username,utsaresearch,user name,"We do not provide this information to ANYONE outside of our organization without a legal request.

We also allow third-party companies to serve ads and/or collect certain anonymous information when you visit
our web site. These companies may use non-personally identifiable information","Third-party,  anonymous",violation,violation,violation,violation
38,com.tfd.mobile.TfdSearch,com.flurry.android.FlurryAgent.setUserId,utsaresearch__GYXnbw_sSAnfLAq83rz4RYe43ES_62bT__2785527__ //en/1547760362704/1/0/GooglePlay Android/iTFD8.0.4/Nexus 6/7.1.1/1440/2392,,variant_username,"Types of Data Collected
Personal Data
First name and last name

Service Providers
We may employ third party companies and individuals to facilitate our Service (""Service Providers""), to provide the Service
on our behalf, to perform Service-related services or to assist us in analyzing how our Service is used.
These third parties have access to your Personal Data only to perform these tasks on our behalf and are obligated not to
disclose or use it for any other purpose.

We may use third-party Service Providers to monitor and analyze the use of our Service.

We may use third-party Service Providers to show advertisements to you to help support and maintain our Service. These companies may use information about your interests in order to provide advertisements about goods and services of interest to you
Flurry
Flurry is provided by Yahoo! Developer Network, an Oath Brand.","Analytics, flurry",no violation,no violation,no violation,no violation
39,com.quoord.tapatalkpro.activity,com.flurry.android.FlurryAgent.setUserId,utsaresearch2018,,user name,"We may collect and combine information when you interact with the Service, including:
user name,

HOW WE USE THE IINFORMATIION COLLECTED:
Such information may be used by itself, aggregated, or combined with other information from third
parties.

IINFORMATIION OUR VENDORS AND OTHER THIIRD PARTIIES COLLECT
● Anallyttiicss Serrviice Prroviiderrss
We may allow certain third party analytics service providers to collect the anonymous data received from cookies, web beacons, tags, pixels, and devices on our behalf, and to retain and use this data themselves.
● Advertrtiissementtss;; Ad Nettworrkss;; Ottherr Thiirrd Partrtiiess
We may allow certain third party companies to serve advertisements to you and collect
anonymous information regarding your use of the Service.
In addition, we or our data partner(s) may collect and store a unique identifier matched to
your mobile device, in order to deliver customized ads or content while you use the Service or
other websites or applications, or to seek to identify you in a unique manner across other
devices or browsers. In order to customize these ads or content, we or our data partner(s) may
 connect de-identified demographic or other data about you (received from third parties)
either to data you voluntarily submitted to us (such as your email address)","analytic service, user name",abstract,abstract,,no violation
40,com.plantpurple.emojidom,com.crashlytics.android.Crashlytics.setUserEmail,utsaresearch2018@gmail.com,,user email,"Only aggregated, anonymized data is periodically transmitted to the analytics tools","analytics tools, aggregated, anonymized data",violation,violation,violation,violation
41,com.zeptolab.monsters.free.google,com.mixpanel.android.mpmetrics.MixpanelAPI.identify,757601f43fe6cab0,,Android ID,"4. How is my personal information used for analytics?
As an online business, it is important for us to know how users interact with our Websites and Games
We  and our Service Providers will collect your Location Information, Device Information, and Advertising IDs so that we can deliver our Game and Website services to our users, measure, analyze, and improve performance of the Games and Websites, and to continually update and develop our Games and Websites.","analytics service without tracker name, Device ID",abstract,abstract,,no violation
42,com.godgame.mj.android,com.appsflyer.AppsFlyerLib.setAndroidIdData,757601f43fe6cab0,,Android ID,,,not in english,,,not in english
43,com.priceline.android.negotiator,com.crashlytics.android.Crashlytics.setUserIdentifier,757601f43fe6cab0,,android_id,"We also use third-party analytics cookies to gain insight into how our visitors use the site
and optimize and improve our site.

Mobile Devices
We and/or our data providers may collect and store a unique identifier matched to your mobile device in order to
deliver customized ads or content while you use applications or surf the internet, or to identify you in a unique
manner across other devices or browsers. In order to customize these ads or content, we or a data partner may
collect demographic or other data, with identifying elements removed, about you received from third parties, as well
as data you voluntarily have submitted to us (e.g., your email address) and/or data passively collected from you,
such as your device identifier","third-party analytics, device identifier",abstract,abstract,,no violation
44,com.ttech.android.onlineislem,com.crashlytics.android.Crashlytics.setUserIdentifier,757601f43fe6cab0,,Android ID,,,not in english,,,not in english
45,com.flayvr.flayvr,com.crashlytics.android.Crashlytics.setUserIdentifier,355458061189396-757601f43fe6cab0,,variant_IMEI+Android ID,"We may collect information about the computer or device you are using, our products and services running on it, and, depending on the type of device it is, what operating systems you are using, device settings, application identifiers (AI), hardware identifiers or universally unique identifiers (UUID), software identifiers, IP Address, location data, cookie IDs, and crash data (through the use of either our own analytical tools or tolls provided by third parties, such as Crashlytics or Firebase).

 Personal data refers to any information relating to an identified or identifiable natural person (“data subject”), where this identification can be made directly or indirectly, by means of identifiers such as your name, identification number, email address, phone number, online identifiers such as cookies in some circumstances, your location, your genetic, economic, cultural or social identity or other information that is specific to you.

· Third party analytics – when we share your data with a third party for analytics, such as purchase optimization, crash reporting, and trend analytics. Note, all free users and paid customers can choose to turn of this feature.","Crashlytics, hardware identifiers",no violation,no violation,,no violation
46,se.footballaddicts.livescore,com.google.firebase.analytics.FirebaseAnalytics.setUserProperty,user_id,757601f43fe6cab0,Android ID,"When you use our services, i.e. download and use our apps, such as “Forza Football”, “Forza Reporter” and “Forza Academy (“Services” ), we use tools or third party analytical
software to automatically collect non-personal data about you and your use of our Services. Such non-personal data is information that is aggregated and de-personalized and
which cannot be used to identify you. We collect this information by using advertiser ID, which is a technology that differentiates smartphones and other devices from each other
through a unique number","analytical software, aggregated and de-personalized, advertiser ID",violation,violation,violation,violation
47,org.medhelp.mydiet,com.mixpanel.android.mpmetrics.MixpanelAPI.identify,757601f43fe6cab0,,Android ID,"""When you download, install, and use the App on your mobile phone or other device, you agree to permit the App to automatically gather certain Information,
including without limitation, advertiser IDs, carrier providers, a unique  device identifier,

to improve the StayWell Services, we collect how, when, and which parts of the StayWell Services or its features you use. Also, we may use your IP Address, media access control address (MAC Address), or other unique identifiers to assist us in collecting and analyzing this data.

We may also disclose your Personal Information and/or Personal Health Information, to the companies, agents, contractors, service providers, or others engaged to perform functions on our behalf (such as processing of payments,
provision of data storage, hosting of our website, conducting audits, and performing web analytics).

Aggregated data. We may combine your Information with Information collected from other participants to create anonymous aggregated data reports that may be disclosed to your Plan, your Employer and other third parties. StayWell may also use your Information as part of group statistical research and analysis to improve StayWell’s Services, as long
as no Information that could be used to contact or identify you is disclosed
to any unauthorized parties.""  analytics, unique 
device identifier  abstract","analytics, unique device identifier",abstract,abstract,,no violation
48,com.televisa.deportes.android,com.flurry.android.FlurryAgent.setUserId,757601f43fe6cab0,,Android ID,,,not available,,,not available
49,com.kroger.mobile,com.crashlytics.android.Crashlytics.setUserIdentifier,757601f43fe6cab0,,Android ID,"When you visit our websites, access our mobile apps or open one of our emails, we may automatically
collect information about you using tracking technology, including:
Internet Protocol address
Unique device or user ID","tracking technology, unique devicen ID",abstract,abstract,,no violation
50,com.bookmark.money,com.crashlytics.android.Crashlytics.setUserEmail,utsaresearch2018@gmail.com,,user email,"Sharing your personal information
We do not sell, trade, or rent Users personal identification information to others. We may share generic aggregated demographic information not linked to any personal identification information regarding visitors and users with our business partners, trusted affiliates and advertisers for the purposes outlined above.We may use third party service providers to help us operate our business and the Site or administer activities on our behalf, such as sending out newsletters or surveys. We may share your information with these third parties for those limited purposes provided that you have given us your permission.",,violation,violation,violation,violation
51,com.ember.stainz,com.tune.Tune.setAndroidId,757601f43fe6cab0,,Android ID,"We will only share your information (including personal data) with the third parties listed on Exhibit A (as updated from time to time).

We may share your information with our employees, the third party companies that perform services on our behalf described on Exhibit A, as amended from time to time, including payment processing, order fulfillment, data analysis, marketing services

We may use and share with third party advertisers (and other third parties) certain Technical Information (which may include personal data) and/or anonymized information to show general demographic and preference information among Ember users.

Exhibit A:
IronSource Crahlytics GameAnalytics ApssFlyer Google Analytics","Tune is not in their Exhibit A list, but they also mentioned they may share data to third party advertisers (and other third parties).  
Description of Tune from appBrain: Attribution analytics to measure the value of advertising partners.",no violation,no violation,no violation,no violation
52,com.holosfind.showroom,com.tune.Tune.setUserEmail,utsaresearch2018@gmail.com,,user email,"2. What Data we collect
- email address;
5. Who may receive your Personal Data
- The service providers who deliver our advertising, marketing and sales campaigns;","service providers, email address",abstract,abstract,,no violation
52,com.holosfind.showroom,com.tune.Tune.setUserName,Utsa Research,,user name,,,,,,
53,com.spuul.android,com.crashlytics.android.Crashlytics.setUserEmail,757601f43fe6cab0,,android_id,"1.4 We shall collect the following Computer Data
o) other hardware and software information
This computer data is collected for analysis and evaluation in order to help us
improve our Digital Properties and the services we provide.

2.1 The personal data we collect from you will be used, or shared with third
parties (including related companies and third party service providers), for some
or all of the following purposes:
2.1.2 to track your activity on our Digital Platforms","analysis,  other hardware and software information",abstract,abstract,,abstract
53,com.spuul.android,com.crashlytics.android.Crashlytics.setUserIdentifier,757601f43fe6cab0,,android_id,,,,,,
54,com.mobikwik_new,com.tune.Tune.setAndroidId,757601f43fe6cab0,,android_id,"We may use third party website analytics services in connection with the Website. These website analytics services do not collect information that you do not voluntarily enter into the Website. services do not track your browsing habits across websites which do not use their services. We are using the information collected from these services to find usability problems to make the Website
easier to use. The recordings will never identify you or your account.

2. We also use Information in aggregate form (so that no individual user is identified):
1. To build up marketing profiles;

In addition, our business partners may use Cookies to provide us with anonymous data and information regarding the use of our Website.

our business partners may collect other non-personally identifying information, such as the computer's IP address, type of operating system, type of internet browsing software,
what web pages were viewed at what time, the geographic location of your internet service provider and demographic information, such as gender and age range.","analytics service, never identify you",violation,violation,violation,violation
55,com.thehomedepot,com.google.firebase.analytics.FirebaseAnalytics.setUserProperty,DeviceId,757601f43fe6cab0,android_id,"Tracking Tools We Use
We collect personal and other information about users over time and across different websites and devices. when you
use this website or service. We also have third parties that collect personal information this way.","Tracking Tools, personal and other information",abstract,abstract,,abstract
55,com.thehomedepot,com.google.firebase.analytics.FirebaseAnalytics.setUserId,757601f43fe6cab0,,Android ID,,,,,,
55,com.thehomedepot,com.crashlytics.android.Crashlytics.setUserIdentifier,757601f43fe6cab0,,Android ID,,,,,,
56,com.froogloid.kring.google.zxing.client.android,com.crashlytics.android.Crashlytics.setUserIdentifier,757601f43fe6cab0,,Android ID,"a. Personally Identifiable Information.
email address
b. Non-Personally Identifiable Information.
This type of information may include things like how long it took a user to download a page,
debugging/crash data

We use Non-Personally Identifiable Information to troubleshoot,

You or We may share your Personally Identifiable Information with such Service Providers to fulfill orders, move data in or out of the Key Ring Service, analyze data, provide marketing assistance, provide search results and links, operate the  Website and the Key Ring Service, troubleshoot.","crash data, Non-Personally Identifiable Information.
analyze data, Personally Identifiable Information",Violation,violation,Violation,Violation
56,com.froogloid.kring.google.zxing.client.android,com.crashlytics.android.Crashlytics.setUserName,utsaresearch2018@gmail.com,,user email,,,,violation,Violation,
56,com.froogloid.kring.google.zxing.client.android,com.flurry.android.FlurryAgent.setUserId,757601f43fe6cab0,,Android ID,,,,no violation,no violation,
56,com.froogloid.kring.google.zxing.client.android,com.google.firebase.analytics.FirebaseAnalytics.setUserId,757601f43fe6cab0,,Android ID,,,,no violation,no violation,
56,com.froogloid.kring.google.zxing.client.android,com.google.firebase.analytics.FirebaseAnalytics.setUserProperty,androidId,757601f43fe6cab0,Android ID,,,,no violation,no violation,
56,com.froogloid.kring.google.zxing.client.android,com.google.firebase.analytics.FirebaseAnalytics.setUserProperty,deviceIdentifier,757601f43fe6cab0,Android ID,,,,no violation,no violation,
57,com.makemytrip,com.tune.Tune.setAndroidId,757601f43fe6cab0,,Android ID,,no term about analytic service,violation,violation,violation,Violation
57,com.makemytrip,com.crashlytics.android.Crashlytics.setUserName,1_757601f43fe6cab0_google Nexus 6_230_7.1.1,,variant_Android ID,,,,,,
58,com.activaweb.matchendirect,com.appsflyer.AppsFlyerLib.setAndroidIdData,757601f43fe6cab0,,android_id,,,not english,,,not english
59,com.boyaa.fben,com.appsflyer.AppsFlyerLib.setAndroidIdData,757601f43fe6cab0,,Android ID,"We and service providers acting on our behalf, like Google Analytics, store log files and use tracking
technologies such as:
We and our service providers use these log files, tags, and tracking technologies to collect and analyze
certain kinds of technical information, including:
your mobile device's identifiers, like your MAC Address, Identifier For Advertising (IDFA), and/or
International Mobile Equipment Identity (IMEI);

We will share your information with third-party companies to perform services on our behalf, like processing
payments, analyzing data, optimizing game play, e-mail delivery, hosting services, customer service and to
help us in our marketing efforts, including managing and delivering contextual and tailored advertisements.","service providers, mobile device's identifiers",abstract,abstract,,no violation
60,com.tgb.kingkong,com.flurry.android.FlurryAgent.setUserId,3.55E+14,,IMEI,,not in googlePlay,not available,,,not available
61,com.cleartrip.android,com.google.firebase.analytics.FirebaseAnalytics.setUserProperty,Email,utsaresearch2018@gmail.com,user email,"Certain tracking technologies
enable us to assign a unique identifier to you,

We may disclose your User Information to third party Processors (such as analytic providers; data centers; etc.), located anywhere in the world,
subject to the requirements noted below in this Section 9;

9.5 We may share your User Information with our partners such as your name, email, or other identifier. Our
partners may also: (i) collect information directly from your device, such as your IP address, device ID,
advertising ID, and information about your browser or operating system; (ii) combine User Information
about you received from Cleartrip with information about you from other sites or services","tracking technologies, email",abstract,abstract,,no violation
